uid,domainID,siteID,plotID,trapID,collectDate,etOHChangeDate,processingDate,identifiedDate,associatedSampleID,sampleID,targetTaxaPresent,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks,duplicateSampleIDQF
50D78B4C853F4A2C9E79E882B85E64A3,D15,ONAQ,ONAQ_002,S,7/3/2014,7/3/2014,9/30/2014,,ONAQ_002.20140703.ib.01,ONAQ_002.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
80B36B6BB0A84C4A8350004320672A92,D15,ONAQ,ONAQ_012,S,7/3/2014,7/3/2014,4/15/2015,4/15/2015,ONAQ_012.S.20140703.cc.01,ONAQ_012.S.20140703.cc.01,Y,common carabid,,,,,,D15.2014.MorphB,1,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,"There is only one common carabid beetle from this plot (that hasn't been pinned) and date for this tube, kept sample ID as ONAQ.012.S.20140703.cc.01"" as final sample ID  as was not actually pooled w/any other common carabids from other traps.""",0
95090282151C467EBD810B32F9856C6E,D15,ONAQ,ONAQ_012,N,7/3/2014,7/3/2014,9/30/2014,,ONAQ_012.20140703.ib.01,ONAQ_012.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
B0998570E2E8437396A34398D6BD3553,D15,ONAQ,ONAQ_012,E,7/3/2014,7/3/2014,9/30/2014,,ONAQ_012.20140703.ib.01,ONAQ_012.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
78B84391C301470683464F190B90DD62,D15,ONAQ,ONAQ_012,S,7/3/2014,7/3/2014,9/30/2014,,ONAQ_012.20140703.ib.01,ONAQ_012.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
B70EDA2FB4FC4EA387FAD3A29AE189E6,D15,ONAQ,ONAQ_012,W,7/3/2014,7/3/2014,9/30/2014,,ONAQ_012.20140703.ib.01,ONAQ_012.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
ACE3CB83E48F44F4BCF302AD2A8BCB91,D15,ONAQ,ONAQ_010,S,7/3/2014,7/3/2014,9/16/2014,,ONAQ_010.20140703.ib.01,ONAQ_010.20140703.ib.01,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
009A6AA6038A42A4AE03216741018679,D15,ONAQ,ONAQ_010,W,7/3/2014,7/3/2014,9/16/2014,,ONAQ_010.20140703.ib.01,ONAQ_010.20140703.ib.01,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
73A0F058D91D44F8B457F477FA261663,D15,ONAQ,ONAQ_010,E,7/3/2014,7/3/2014,9/16/2014,,ONAQ_010.20140703.ib.01,ONAQ_010.20140703.ib.01,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
3534EFDC30A6448CBD0A59A3D3261AC1,D15,ONAQ,ONAQ_010,N,7/3/2014,7/3/2014,9/16/2014,,ONAQ_010.20140703.ib.01,ONAQ_010.20140703.ib.01,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
3741828DB59C4E05B1F6309CDB47D52D,D15,ONAQ,ONAQ_009,W,7/3/2014,7/3/2014,7/3/2014,,ONAQ_009.20140703.ib.02,ONAQ_009.20140703.ib.02,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,0
78FFFE636CAC454B83181C7C7A348E9C,D15,ONAQ,ONAQ_009,E,7/3/2014,7/3/2014,7/3/2014,,ONAQ_009.20140703.ib.01,ONAQ_009.20140703.ib.01,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
139412230A1248BD8F4170EA2EF7A8DF,D15,ONAQ,ONAQ_009,S,7/3/2014,7/3/2014,7/3/2014,,ONAQ_009.20140703.ib.01,ONAQ_009.20140703.ib.01,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
9F3DFBF22CFF451B824B9AEA871F42BA,D15,ONAQ,ONAQ_009,N,7/3/2014,7/3/2014,7/3/2014,,ONAQ_009.20140703.ib.01,ONAQ_009.20140703.ib.01,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
C3E9DA5B93D44BB895EFD7D85448AC5B,D15,ONAQ,ONAQ_009,S,7/3/2014,7/3/2014,4/15/2015,4/15/2015,ONAQ_009.S.20140703.cc.01,ONAQ_009.S.20140703.cc.01,Y,common carabid,,,,,,D15.2014.MorphC,1,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,"There is only one common carabid beetle from this plot (that hasn't been pinned) and date for this tube, kept sample ID as ONAQ.009.S.20140703.cc.01"" as final sample ID  as was not actually pooled with any other common carabids from other traps.""",0
9534385C858C4981BEEAE07711F78330,D15,ONAQ,ONAQ_008,W,7/3/2014,7/3/2014,9/16/2014,,ONAQ_008.20140703.ib.01,ONAQ_008.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
815CB4F81BCD485F86CC65879876AB16,D15,ONAQ,ONAQ_008,S,7/3/2014,7/3/2014,9/16/2014,,ONAQ_008.20140703.ib.01,ONAQ_008.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
458540B1F91F49FE8401B2CD34252103,D15,ONAQ,ONAQ_008,E,7/3/2014,7/3/2014,9/16/2014,,ONAQ_008.20140703.ib.01,ONAQ_008.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
F7ADE26DED2048598CEB19A5F99CABAB,D15,ONAQ,ONAQ_008,N,7/3/2014,7/3/2014,9/16/2014,,ONAQ_008.20140703.ib.01,ONAQ_008.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
1E9533619FE34FBA9FD98F7602F07B89,D15,ONAQ,ONAQ_006,W,7/3/2014,7/3/2014,9/9/2014,,ONAQ_006.20140703.ib.01,ONAQ_006.20140703.ib.01,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
7BAA8E2484CD4065AF63D3B6340B27DD,D15,ONAQ,ONAQ_006,S,7/3/2014,7/3/2014,9/9/2014,,ONAQ_006.20140703.ib.01,ONAQ_006.20140703.ib.01,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
223893262DF04367BE05F710BB808B56,D15,ONAQ,ONAQ_006,E,7/3/2014,7/3/2014,9/9/2014,,ONAQ_006.20140703.ib.01,ONAQ_006.20140703.ib.01,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
0BFD4531BFDC46B6B66CDCE6B5280219,D15,ONAQ,ONAQ_006,N,7/3/2014,7/3/2014,9/9/2014,,ONAQ_006.20140703.ib.01,ONAQ_006.20140703.ib.01,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
814006ADB659458BA76B7DEDFB3CB212,D15,ONAQ,ONAQ_007,N,7/3/2014,7/3/2014,9/16/2014,,ONAQ_007.20140703.ib.01,ONAQ_007.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,0
52FE00090A3B481F8D3642C00FAC74DF,D15,ONAQ,ONAQ_005,N,7/3/2014,7/3/2014,9/30/2014,,ONAQ_005.20140703.ib.01,ONAQ_005.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
85DEF10241094FE18169445ECBFC843A,D15,ONAQ,ONAQ_005,S,7/3/2014,7/3/2014,9/30/2014,,ONAQ_005.20140703.ib.01,ONAQ_005.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
A548926D2C9B48EE9D5D7C0ECC339D6D,D15,ONAQ,ONAQ_005,W,7/3/2014,7/3/2014,9/30/2014,,ONAQ_005.20140703.ib.01,ONAQ_005.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
C032D73803674ADABC27B00DE4EC9DB0,D15,ONAQ,ONAQ_005,E,7/3/2014,7/3/2014,9/30/2014,,ONAQ_005.20140703.ib.01,ONAQ_005.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
FCDDC0A3397745B098BAB573D52E6F34,D15,ONAQ,ONAQ_005,N,7/3/2014,7/3/2014,4/15/2015,4/15/2015,ONAQ_005.N.20140703.cc.01,ONAQ_005.20140703.cc.01,Y,common carabid,,,,,,D15.2014.MorphC,2,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,No remarks,0
590BB72D9D89479D802270512363C888,D15,ONAQ,ONAQ_005,W,7/3/2014,7/3/2014,4/15/2015,4/15/2015,ONAQ_005.W.20140703.cc.01,ONAQ_005.20140703.cc.01,Y,common carabid,,,,,,D15.2014.MorphC,1,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,One Melyridae removed,0
EC6558992011494B8A4CC899EE5F70C9,D15,ONAQ,ONAQ_004,N,7/3/2014,7/3/2014,9/10/2014,,ONAQ_004.20140703.ib.01,ONAQ_004.20140703.ib.01,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,0
3933135C4CEB49E3A9E5E575860794A7,D15,ONAQ,ONAQ_003,W,7/3/2014,7/4/2014,9/30/2014,,ONAQ_003.20140703.ib.01,ONAQ_003.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
04813B8DF2FF475E9B6E88377F70BAD1,D15,ONAQ,ONAQ_003,S,7/3/2014,7/4/2014,9/30/2014,,ONAQ_003.20140703.ib.01,ONAQ_003.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
2549C75F4FC345D79CC32B572BAB112A,D15,ONAQ,ONAQ_003,N,7/3/2014,7/4/2014,9/30/2014,,ONAQ_003.20140703.ib.01,ONAQ_003.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
181DB6CB492741968D1CA6BC73B1DB0F,D15,ONAQ,ONAQ_003,E,7/3/2014,7/4/2014,9/30/2014,,ONAQ_003.20140703.ib.01,ONAQ_003.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
886AEAA205404CA0B3DA20A397955082,D15,ONAQ,ONAQ_002,N,7/3/2014,7/3/2014,9/30/2014,,ONAQ_002.20140703.ib.01,ONAQ_002.20140703.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
FCB836535D5D47B685A92F6AC2F43838,D15,ONAQ,ONAQ_002,E,7/3/2014,7/3/2014,9/30/2014,,ONAQ_002.20140703.ib.01,ONAQ_002.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
4E69B08B63C446999EC29B14DF7F2AE0,D15,ONAQ,ONAQ_002,W,7/3/2014,7/3/2014,9/30/2014,,ONAQ_002.20140703.ib.01,ONAQ_002.20140703.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
57661841B6C54AA58FBB999D32259D31,D15,ONAQ,ONAQ_002,N,7/3/2014,7/3/2014,4/15/2015,4/15/2015,ONAQ_002.N.20140703.cc.01,ONAQ_002.20140703.cc.01,Y,common carabid,,,,,,D15.2014.MorphB,1,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,Lebiini,0
7C07081D95004AEDAFE7101AEE8D1E4F,D15,ONAQ,ONAQ_002,S,7/3/2014,7/3/2014,4/15/2015,4/15/2015,ONAQ_002.S.20140703.cc.01,ONAQ_002.20140703.cc.01,Y,common carabid,,,,,,D15.2014.MorphC,1,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,Zabrini,0
23F4827B32D94668A56E0021FF3AE981,D15,ONAQ,ONAQ_002,E,7/17/2014,7/18/2014,8/21/2014,,ONAQ_002.20140717.ib.01,ONAQ_002.20140717.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
C6530A883E9842FCA4D906833DAD7DAD,D15,ONAQ,ONAQ_012,N,7/17/2014,7/18/2014,8/28/2014,,ONAQ_012.20140717.ib.01,ONAQ_012.20140717.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
68ACA11584A545568BD9953C23B5507E,D15,ONAQ,ONAQ_012,E,7/17/2014,7/18/2014,8/28/2014,,ONAQ_012.20140717.ib.01,ONAQ_012.20140717.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
87715343CD814D08A6A9CCC517459FBC,D15,ONAQ,ONAQ_012,W,7/17/2014,7/18/2014,8/28/2014,,ONAQ_012.20140717.ib.01,ONAQ_012.20140717.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
EBB1838D9AC2424695E3D8E7A24161DA,D15,ONAQ,ONAQ_012,S,7/17/2014,7/18/2014,8/28/2014,,ONAQ_012.20140717.ib.01,ONAQ_012.20140717.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
A66848275EC64C048F1A0D0A8469FE5D,D15,ONAQ,ONAQ_010,N,7/17/2014,7/18/2014,8/21/2014,,ONAQ_010.20140717.ib.01,ONAQ_010.20140717.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,0
50D2E90DA9834234A45D1E81081124E4,D15,ONAQ,ONAQ_009,N,7/17/2014,7/18/2014,9/10/2014,,ONAQ_009.20140717.ib.01,ONAQ_009.20140717.ib.01,Y,invert bycatch,,,,,,,,,,qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ,,2
AF402D2E36E04F0CA5216DDA8E5687BE,D15,ONAQ,ONAQ_009,S,7/17/2014,7/18/2014,9/10/2014,,ONAQ_009.20140717.ib.01,ONAQ_009.20140717.ib.01,N,invert bycatch,,,,,,,,,,qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ,,2
88BF8ACA3BEE48E78A1CBCDEC1446648,D15,ONAQ,ONAQ_009,W,7/17/2014,7/18/2014,9/10/2014,,ONAQ_009.20140717.ib.01,ONAQ_009.20140717.ib.01,Y,invert bycatch,,,,,,,,,,qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ,,2
6ABB5E9073E044A79198FAD2BA154418,D15,ONAQ,ONAQ_009,E,7/17/2014,7/18/2014,9/10/2014,,ONAQ_009.20140717.ib.01,ONAQ_009.20140717.ib.01,N,invert bycatch,,,,,,,,,,qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ,,2
92AC77582F7D422AA039A127DFB2A175,D15,ONAQ,ONAQ_008,E,7/17/2014,7/18/2014,9/10/2014,,ONAQ_008.20140717.ib.02,ONAQ_008.20140717.ib.02,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
71834C89BBD54E6299FA18CA37050123,D15,ONAQ,ONAQ_008,W,7/17/2014,7/18/2014,9/10/2014,,ONAQ_008.20140717.ib.02,ONAQ_008.20140717.ib.02,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
0809ACE583C1485AADA136FC2C04A051,D15,ONAQ,ONAQ_008,N,7/17/2014,7/18/2014,9/10/2014,,ONAQ_008.20140717.ib.01,ONAQ_008.20140717.ib.01,N,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
E3E5754001DB46A8A2D782B514E5087C,D15,ONAQ,ONAQ_008,S,7/17/2014,7/18/2014,9/10/2014,,ONAQ_008.20140717.ib.01,ONAQ_008.20140717.ib.01,Y,invert bycatch,,,,,,,,,,B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM,,2
8BD76D60597947228C9ED187E0B39C90,D15,ONAQ,ONAQ_006,N,7/17/2014,7/18/2014,9/16/2014,,ONAQ_006.20140717.ib.01,ONAQ_006.20140717.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
DEE79D5FA27B467E8561649FC2D56F00,D15,ONAQ,ONAQ_006,E,7/17/2014,7/18/2014,9/16/2014,,ONAQ_006.20140717.ib.01,ONAQ_006.20140717.ib.01,N,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
67B5914BDA2B45F5B97EBE140687B15A,D15,ONAQ,ONAQ_006,W,7/17/2014,7/18/2014,9/16/2014,,ONAQ_006.20140717.ib.01,ONAQ_006.20140717.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
EA25DEB791AE45EE94C10A5384E56F52,D15,ONAQ,ONAQ_006,S,7/17/2014,7/18/2014,9/16/2014,,ONAQ_006.20140717.ib.01,ONAQ_006.20140717.ib.01,Y,invert bycatch,,,,,,,,,,MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=,,2
852CE9372F224164B35139B4A2DE44B8,D15,ONAQ,ONAQ_007,N,7/17/2014,7/18/2014,4/15/2015,4/15/2015,ONAQ_007.N.20140717.cc.01,ONAQ_007.20140717.cc.01,Y,common carabid,,,,,,D15.2014.MorphB,1,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,No Remarks,0
BFE691DDC2864565AE283373B20F6FB4,D15,ONAQ,ONAQ_007,E,7/17/2014,7/18/2014,4/15/2015,4/15/2015,ONAQ_007.E.20140717.cc.02,ONAQ_007.20140717.cc.01,Y,common carabid,,,,,,D15.2014.MorphB,2,"American Beetles"" Arnett/ Thomas 2001""",z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9,/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY,No Remarks,0
